"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 11:30:27 CST 2024","Thu Jul 04 11:30:27 CST 2024","16","","com.example.junit4.StepTest","","com.example.junit4.StepTest","lambdaStepTest","lambdaStepTest",""
"passed","Thu Jul 04 11:30:27 CST 2024","Thu Jul 04 11:30:27 CST 2024","18","","com.example.junit4.StepTest","","com.example.junit4.StepTest","annotatedStepTest","annotatedStepTest",""
